route	indexation	priority	owner_file	meta	h1	h2_outline	links	schema	status
/	index	P0	01-home.md	yes	yes	yes	yes	WebPage|LocalBusiness	READY_FOR_VERIFY
/tanzkurse	index	P0	02-tanzkurse.md	yes	yes	yes	yes	CollectionPage	READY_FOR_VERIFY
/tanzkurse/salsa	index	P0	03-stilseiten-salsa-bachata-heels.md	yes	yes	yes	yes	CourseCollection	READY_FOR_VERIFY
/tanzkurse/bachata	index	P0	03-stilseiten-salsa-bachata-heels.md	yes	yes	yes	yes	CourseCollection	READY_FOR_VERIFY
/tanzkurse/heels	index	P0	03-stilseiten-salsa-bachata-heels.md	yes	yes	yes	yes	CourseCollection	READY_FOR_VERIFY
/privatstunden	index	P0	07-privatstunden.md	yes	yes	yes	yes	Service	READY_FOR_VERIFY
/kursaufbau	index	P0	04-kursaufbau.md	yes	yes	yes	yes	WebPage	READY_FOR_VERIFY
/preise	index	P0	05-preise.md	yes	yes	yes	yes	WebPage	OWNER_BLOCKED
/kursplan	index	P0	06-kursplan.md	yes	yes	yes	yes	CollectionPage	READY_FOR_VERIFY
/events	index	P1	08-events.md	yes	yes	yes	yes	CollectionPage	READY_FOR_VERIFY
/events/danceflow-night	index	P1	08-events.md	yes	yes	yes	yes	EventSeries	OWNER_BLOCKED
/events/anniversary-weekend	index	P1	08-events.md	yes	yes	yes	yes	WebPage	OWNER_BLOCKED
/events/floweekend	index	P1	08-events.md	yes	yes	yes	yes	WebPage	OWNER_BLOCKED
/events/kalender	index	P1	08-events.md	yes	yes	yes	yes	CollectionPage	READY_FOR_VERIFY
/shows-animationen	index	P1	09-shows-animationen.md	yes	yes	yes	yes	Service	OWNER_BLOCKED
/team	index	P1	10-team.md	yes	yes	yes	yes	AboutPage	OWNER_BLOCKED
/fotos	index	P1	11-fotos.md	yes	yes	yes	yes	CollectionPage	OWNER_BLOCKED
/kontakt	index	P0	12-kontakt.md	yes	yes	yes	yes	ContactPage	READY_FOR_VERIFY
/kontakt/standort-raumvermietung	index	P0	12-kontakt.md	yes	yes	yes	yes	Place|Service	OWNER_BLOCKED
/mehr	index	P1	13-mehr-faq.md	yes	yes	yes	yes	CollectionPage	READY_FOR_VERIFY
/mehr/collabs	index	P1	13-mehr-faq.md	yes	yes	yes	yes	WebPage	OWNER_BLOCKED
/mehr/tanzschuhe	index	P1	14-fehlende-oeffentliche-routen.md	yes	yes	yes	yes	WebPage	OWNER_BLOCKED
/mehr/partys	index	P1	14-fehlende-oeffentliche-routen.md	yes	yes	yes	yes	CollectionPage	OWNER_BLOCKED
/faq	index	P1	13-mehr-faq.md	yes	yes	yes	yes	FAQPage	OWNER_BLOCKED
/impressum	index	P0_LEGAL	14-fehlende-oeffentliche-routen.md	yes	yes	yes	yes	WebPage	OWNER_BLOCKED
/datenschutz	index	P0_LEGAL	14-fehlende-oeffentliche-routen.md	yes	yes	yes	yes	WebPage	OWNER_BLOCKED
