route	section_id	section_name	viewport	file	copy_source	copy_sha256	reduced_motion	cookie_state	data_state	review
/	H00	Salsa, Bachataund Heels.Mitten in Basel.	1440x900	generated/A/preview/home-H00-desktop.png	06-seiten/01-home.md	1eb82fd5d5d85eea652f114572242843e2a01a9d63c63a51c6e9988f050bfd15	reduce	dismissed	preview-live-data	FAIL_COPY_SYNC
/	H01	Welcher Tanz passt zu dir?	1440x900	generated/A/preview/home-H01-desktop.png	06-seiten/01-home.md	1eb82fd5d5d85eea652f114572242843e2a01a9d63c63a51c6e9988f050bfd15	reduce	dismissed	preview-live-data	FAIL_COPY_SYNC
/	H02	Finde deinen nächsten Kurs in wenigen Minuten.	1440x900	generated/A/preview/home-H02-desktop.png	06-seiten/01-home.md	1eb82fd5d5d85eea652f114572242843e2a01a9d63c63a51c6e9988f050bfd15	reduce	dismissed	preview-live-data	FAIL_COPY_SYNC
/	H03	Der erste Schritt darf leicht sein.	1440x900	generated/A/preview/home-H03-desktop.png	06-seiten/01-home.md	1eb82fd5d5d85eea652f114572242843e2a01a9d63c63a51c6e9988f050bfd15	reduce	dismissed	preview-live-data	FAIL_COPY_SYNC
/	H04	Was unsere Community sagt.	1440x900	generated/A/preview/home-H04-desktop.png	06-seiten/01-home.md	1eb82fd5d5d85eea652f114572242843e2a01a9d63c63a51c6e9988f050bfd15	reduce	dismissed	preview-live-data	FAIL_COPY_SYNC
/	H05	Lernen ist der Anfang. Tanzen passiert in der Community.	1440x900	generated/A/preview/home-H05-desktop.png	06-seiten/01-home.md	1eb82fd5d5d85eea652f114572242843e2a01a9d63c63a51c6e9988f050bfd15	reduce	dismissed	preview-live-data	FAIL_COPY_SYNC
/	H06	Menschen, die nicht nur unterrichten, sondern mit dir tanzen.	1440x900	generated/A/preview/home-H06-desktop.png	06-seiten/01-home.md	1eb82fd5d5d85eea652f114572242843e2a01a9d63c63a51c6e9988f050bfd15	reduce	dismissed	preview-live-data	FAIL_COPY_SYNC
/	H07	Was ein Salsa- oder Bachata-Kurs kostet.	1440x900	generated/A/preview/home-H07-desktop.png	06-seiten/01-home.md	1eb82fd5d5d85eea652f114572242843e2a01a9d63c63a51c6e9988f050bfd15	reduce	dismissed	preview-live-data	FAIL_COPY_SYNC
/	H08	Fragen vor deiner ersten Stunde.	1440x900	generated/A/preview/home-H08-desktop.png	06-seiten/01-home.md	1eb82fd5d5d85eea652f114572242843e2a01a9d63c63a51c6e9988f050bfd15	reduce	dismissed	preview-live-data	FAIL_COPY_SYNC
/	H09	Drei Studios, ein Ort am Bahnhof SBB.	1440x900	generated/A/preview/home-H09-desktop.png	06-seiten/01-home.md	1eb82fd5d5d85eea652f114572242843e2a01a9d63c63a51c6e9988f050bfd15	reduce	dismissed	preview-live-data	FAIL_COPY_SYNC
/	H10	Siempre con Flow.	1440x900	generated/A/preview/home-H10-desktop.png	06-seiten/01-home.md	1eb82fd5d5d85eea652f114572242843e2a01a9d63c63a51c6e9988f050bfd15	reduce	dismissed	preview-live-data	FAIL_COPY_SYNC
/	H00	Salsa, Bachataund Heels.Mitten in Basel.	390x844	generated/A/preview/home-H00-mobile.png	06-seiten/01-home.md	1eb82fd5d5d85eea652f114572242843e2a01a9d63c63a51c6e9988f050bfd15	reduce	dismissed	preview-live-data	FAIL_COPY_SYNC
/	H01	Welcher Tanz passt zu dir?	390x844	generated/A/preview/home-H01-mobile.png	06-seiten/01-home.md	1eb82fd5d5d85eea652f114572242843e2a01a9d63c63a51c6e9988f050bfd15	reduce	dismissed	preview-live-data	FAIL_COPY_SYNC
/	H02	Finde deinen nächsten Kurs in wenigen Minuten.	390x844	generated/A/preview/home-H02-mobile.png	06-seiten/01-home.md	1eb82fd5d5d85eea652f114572242843e2a01a9d63c63a51c6e9988f050bfd15	reduce	dismissed	preview-live-data	FAIL_COPY_SYNC
/	H03	Der erste Schritt darf leicht sein.	390x844	generated/A/preview/home-H03-mobile.png	06-seiten/01-home.md	1eb82fd5d5d85eea652f114572242843e2a01a9d63c63a51c6e9988f050bfd15	reduce	dismissed	preview-live-data	FAIL_COPY_SYNC
/	H04	Was unsere Community sagt.	390x844	generated/A/preview/home-H04-mobile.png	06-seiten/01-home.md	1eb82fd5d5d85eea652f114572242843e2a01a9d63c63a51c6e9988f050bfd15	reduce	dismissed	preview-live-data	FAIL_COPY_SYNC
/	H05	Lernen ist der Anfang. Tanzen passiert in der Community.	390x844	generated/A/preview/home-H05-mobile.png	06-seiten/01-home.md	1eb82fd5d5d85eea652f114572242843e2a01a9d63c63a51c6e9988f050bfd15	reduce	dismissed	preview-live-data	FAIL_COPY_SYNC
